function,args,kwargs
sklearn.metrics.RocCurveDisplay,"y, y_pred","ax=**, chance_level_kw=**, linewidth=linewidth, name=model_name, plot_chance_level=**, pos_label=pos_label"
sklearn.preprocessing._label.LabelBinarizer.fit_transform,**,
sklearn.preprocessing._label.LabelBinarizer,str,
sklearn.preprocessing._label.LabelBinarizer.fit_transform,**,
sklearn.preprocessing._label.LabelBinarizer.fit_transform,**,
sklearn.preprocessing._label.LabelBinarizer.fit_transform,**,
sklearn.preprocessing._label.LabelBinarizer,str,
sklearn.preprocessing._label.LabelBinarizer,str,
sklearn.preprocessing._label.LabelBinarizer,str,
sklearn.random_projection.johnson_lindenstrauss_min_dim,n_samples_range,eps=eps
sklearn.random_projection.johnson_lindenstrauss_min_dim,n_samples,eps=eps_range
sklearn.random_projection.SparseRandomProjection,,n_components=n_components
sklearn.random_projection.SparseRandomProjection,data,
sklearn.metrics.pairwise.euclidean_distances,data,squared=True
sklearn.datasets.load_digits,,
sklearn.datasets.fetch_20newsgroups_vectorized,,
sklearn.metrics.pairwise.euclidean_distances,projected_data,squared=True
sklearn.covariance.EllipticEnvelope,,"contamination=outliers_fraction, random_state=42"
sklearn.svm.OneClassSVM,,"gamma=0.1, kernel=rbf, nu=outliers_fraction"
sklearn.pipeline.make_pipeline,"**, **",
sklearn.ensemble.IsolationForest,,"contamination=outliers_fraction, random_state=42"
sklearn.neighbors.LocalOutlierFactor,,"contamination=outliers_fraction, n_neighbors=35"
sklearn.datasets.make_blobs,,"centers=**, cluster_std=0.5, **blobs_params"
sklearn.datasets.make_blobs,,"centers=**, cluster_std=**, **blobs_params"
sklearn.datasets.make_blobs,,"centers=**, cluster_std=**, **blobs_params"
sklearn.pipeline.Pipeline,X,
sklearn.kernel_approximation.Nystroem,,"gamma=0.1, n_components=150, random_state=42"
sklearn.linear_model.SGDOneClassSVM,,"fit_intercept=True, nu=outliers_fraction, random_state=42, shuffle=True, tol=1e-06"
sklearn.pipeline.Pipeline,X,
sklearn.pipeline.Pipeline,X,
sklearn.covariance._elliptic_envelope.EllipticEnvelope.predict,**,
sklearn.datasets.make_moons,,"n_samples=n_samples, noise=0.05, random_state=0"
sklearn.model_selection.GridSearchCV,**,param_grid=**
sklearn.model_selection.GridSearchCV,**,param_grid=**
sklearn.model_selection._search.BaseSearchCV.fit,"**, **",
sklearn.model_selection._search.BaseSearchCV.fit,"**, **",
sklearn.model_selection._search.BaseSearchCV.predict,X_plot,
sklearn.model_selection._search.BaseSearchCV.predict,X_plot,
sklearn.svm.SVR,,"C=10.0, gamma=0.1, kernel=rbf"
sklearn.kernel_ridge.KernelRidge,,"alpha=0.1, gamma=0.1, kernel=rbf"
sklearn.model_selection._plot.LearningCurveDisplay.from_estimator,svr,**common_params
sklearn.model_selection._plot.LearningCurveDisplay.from_estimator,kr,**common_params
sklearn.svm.SVR,,"gamma=0.1, kernel=rbf"
sklearn.kernel_ridge.KernelRidge,,"gamma=0.1, kernel=rbf"
sklearn.svm._base.BaseLibSVM.fit,"**, **",
sklearn.kernel_ridge.KernelRidge.predict,**,
sklearn.kernel_ridge.KernelRidge,,"alpha=0.01, gamma=10, kernel=rbf"
sklearn.svm.SVR,,"C=100.0, gamma=10, kernel=rbf"
sklearn.utils.check_random_state,0,
sklearn.isotonic.IsotonicRegression,,out_of_bounds=clip
sklearn.base.TransformerMixin.fit_transform,"x, y",
sklearn.linear_model.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"**, y",
sklearn.linear_model._base.LinearModel.predict,**,
sklearn.isotonic.IsotonicRegression,x_test,
sklearn.set_config,,enable_metadata_routing=True
sklearn.utils.metadata_routing.get_routing_for_object,self,
sklearn.utils.validation.check_is_fitted,self,
sklearn.utils.metadata_routing.get_routing_for_object,self,
sklearn.utils.metadata_routing.MetadataRouter,,"estimator=**, method_mapping=one-to-one"
sklearn.utils.metadata_routing.get_routing_for_object,self,
sklearn.utils.validation.check_is_fitted,self,
sklearn.utils.metadata_routing.get_routing_for_object,self,
sklearn.utils.metadata_routing.MetadataRouter,,"classifier=**, method_mapping=one-to-one"
sklearn.utils.metadata_routing.process_routing,"self, fit, fit_params",
sklearn.utils.metadata_routing.process_routing,"self, predict, predict_params",
sklearn.utils.metadata_routing.process_routing,"self, fit, fit_params",
sklearn.utils.metadata_routing.process_routing,"self, fit, fit_params",sample_weight=sample_weight
sklearn.utils.metadata_routing.MetadataRouter,,"estimator=**, method_mapping=one-to-one"
sklearn.utils.metadata_routing.MetadataRouter,,owner=**
sklearn.utils.metadata_routing.MetadataRouter,,"method_mapping=**, transformer=**"
sklearn.utils.metadata_routing.MetadataRouter,,owner=**
sklearn.utils.metadata_routing.MetadataRouter,,owner=**
sklearn.utils.metadata_routing.MetadataRouter,,owner=**
sklearn.utils.metadata_routing.MetadataRouter,,owner=**
sklearn.datasets.load_wine,,return_X_y=True
sklearn.model_selection.train_test_split,"X, y",random_state=42
sklearn.svm.SVC,,random_state=42
sklearn.svm._base.BaseLibSVM.fit,"X_train, y_train",
sklearn.metrics._plot.roc_curve.RocCurveDisplay.from_estimator,"svc, X_test, y_test",
sklearn.ensemble.RandomForestClassifier,,"n_estimators=10, random_state=42"
sklearn.ensemble._forest.BaseForest.fit,"X_train, y_train",
sklearn.metrics._plot.roc_curve.RocCurveDisplay.from_estimator,"rfc, X_test, y_test","alpha=0.8, ax=ax"
sklearn.datasets.load_iris,,"as_frame=True, return_X_y=True"
sklearn.model_selection.train_test_split,"X, y","random_state=0, stratify=y"
sklearn.utils._set_output._SetOutputMixin.set_output,,transform=pandas
sklearn.preprocessing.StandardScaler,,
sklearn.preprocessing._data.StandardScaler.fit,X_train,
sklearn.preprocessing._data.StandardScaler.transform,X_test,
sklearn.utils._set_output._SetOutputMixin.set_output,,transform=pandas
sklearn.preprocessing._data.StandardScaler.transform,X_test,
sklearn.pipeline.make_pipeline,"**, **, **",
sklearn.datasets.fetch_openml,titanic,"as_frame=True, parser=pandas, return_X_y=True, version=1"
sklearn.set_config,,transform_output=pandas
sklearn.pipeline.make_pipeline,"**, **",
sklearn.compose.ColumnTransformer,**,verbose_feature_names_out=False
sklearn.pipeline.make_pipeline,"ct, **, **",
sklearn.set_config,,transform_output=default
sklearn.preprocessing.StandardScaler,,
sklearn.preprocessing._data.StandardScaler.fit,**,
sklearn.preprocessing._data.StandardScaler.transform,**,
sklearn.preprocessing.StandardScaler,,
sklearn.feature_selection.SelectPercentile,,percentile=75
sklearn.preprocessing._data.StandardScaler,,
sklearn.pipeline.make_pipeline,,
sklearn.pipeline.make_pipeline,,
sklearn.feature_selection.SelectPercentile,,percentile=50
sklearn.pipeline.make_pipeline,,
sklearn.config_context,,transform_output=pandas
sklearn.preprocessing._data.StandardScaler.transform,**,
sklearn.preprocessing.StandardScaler,,
sklearn.preprocessing.OneHotEncoder,,"drop=if_binary, handle_unknown=ignore, sparse_output=False"
sklearn.datasets.load_diabetes,,
sklearn.tree.DecisionTreeRegressor,,
sklearn.pipeline.make_pipeline,"**, **",
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.pipeline.Pipeline.fit,"X, y",
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"tree, X, **",ax=ax
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"mlp, X, **","ax=ax, line_kw=**"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"tree, X, **",
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"mlp, X, **","ax=**, line_kw=**"
sklearn.preprocessing.StandardScaler,,
sklearn.neural_network.MLPRegressor,,"hidden_layer_sizes=**, max_iter=500, random_state=0, tol=0.01"
sklearn.pipeline.Pipeline,steps,
sklearn.set_config,,display=diagram
sklearn.set_config,,display=text
sklearn.set_config,,display=diagram
sklearn.pipeline.Pipeline,steps,
sklearn.pipeline.Pipeline,steps,
sklearn.pipeline.Pipeline,,steps=**
sklearn.pipeline.Pipeline,,steps=**
sklearn.compose.ColumnTransformer,**,
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.pipeline.Pipeline,,steps=**
sklearn.pipeline.Pipeline,,steps=**
sklearn.compose.ColumnTransformer,**,
sklearn.pipeline.Pipeline,,steps=**
sklearn.model_selection.GridSearchCV,pipe,"n_jobs=1, param_grid=param_grid"
sklearn.compose._column_transformer.ColumnTransformer,,max_iter=500
sklearn.linear_model.LogisticRegression,,
sklearn.preprocessing.PolynomialFeatures,,degree=3
sklearn.linear_model.LogisticRegression,,C=2.0
sklearn.impute.SimpleImputer,,"missing_values=**, strategy=mean"
sklearn.impute.SimpleImputer,,"fill_value=missing, strategy=constant"
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.impute.SimpleImputer,,"missing_values=**, strategy=mean"
sklearn.impute.SimpleImputer,,"fill_value=missing, strategy=constant"
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.datasets.load_digits,,n_class=9
sklearn.svm.SVC,,gamma=0.2
sklearn.svm.LinearSVC,,dual=auto
sklearn.kernel_approximation.RBFSampler,,"gamma=0.2, random_state=1"
sklearn.kernel_approximation.Nystroem,,"gamma=0.2, random_state=1"
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline,**,
sklearn.svm._base.BaseLibSVM.fit,"data_train, targets_train",
sklearn.base.ClassifierMixin.score,"data_test, targets_test",
sklearn.svm._classes.LinearSVC.fit,"data_train, targets_train",
sklearn.base.ClassifierMixin.score,"data_test, targets_test",
sklearn.decomposition._pca.PCA.fit,data_train,
sklearn.pipeline.Pipeline.set_params,,feature_map__n_components=D
sklearn.pipeline.Pipeline.set_params,,feature_map__n_components=D
sklearn.pipeline.Pipeline.fit,"data_train, targets_train",
sklearn.pipeline.Pipeline.fit,"data_train, targets_train",
sklearn.pipeline.Pipeline.score,"data_test, targets_test",
sklearn.pipeline.Pipeline.score,"data_test, targets_test",
sklearn.decomposition.PCA,,n_components=8
sklearn.kernel_approximation.RBFSampler,,dual=auto
sklearn.kernel_approximation.Nystroem,,dual=auto
sklearn.datasets.fetch_openml,,"data_id=1464, parser=pandas, return_X_y=True"
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_test,
sklearn.metrics.confusion_matrix,"y_test, y_pred",
sklearn.metrics.ConfusionMatrixDisplay,,
sklearn.pipeline.Pipeline.decision_function,X_test,
sklearn.metrics.roc_curve,"y_test, y_score",pos_label=**
sklearn.metrics.precision_recall_curve,"y_test, y_score",pos_label=**
sklearn.pipeline.make_pipeline,,
sklearn.preprocessing.StandardScaler,,random_state=0
sklearn.metrics.ConfusionMatrixDisplay,cm,
sklearn.metrics.RocCurveDisplay,,"fpr=fpr, tpr=tpr"
sklearn.metrics.PrecisionRecallDisplay,,"precision=prec, recall=recall"
sklearn.datasets.fetch_olivetti_faces,,return_X_y=True
sklearn.utils.validation.check_random_state,4,
sklearn.ensemble._forest.ExtraTreesRegressor,,
sklearn.ensemble.ExtraTreesRegressor,,"max_features=32, n_estimators=10, random_state=0"
sklearn.neighbors.KNeighborsRegressor,,
sklearn.linear_model._base.LinearRegression.fit,"X_train, y_train",
sklearn.linear_model.LogisticRegression,,penalty=l1
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.make_pipeline,"**, **",
sklearn.compose.make_column_transformer,"**, **",
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.impute.SimpleImputer,,strategy=median
sklearn.pipeline.make_pipeline,,
sklearn.impute.SimpleImputer,,"fill_value=missing, strategy=constant"
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.pipeline.make_pipeline,,
sklearn.datasets.make_classification,,"class_sep=0.8, n_classes=8, n_clusters_per_class=1, n_features=15, n_informative=3, n_redundant=2, n_repeated=0, n_samples=500, random_state=0"
sklearn.linear_model.LogisticRegression,,
sklearn.model_selection.StratifiedKFold,5,
sklearn.feature_selection._rfe.RFECV,,"cv=cv, estimator=clf, min_features_to_select=min_features_to_select, n_jobs=2, scoring=accuracy, step=1"
sklearn.feature_selection._rfe.RFECV.fit,"X, y",
sklearn.datasets.load_digits,,
sklearn.svm.SVC,,"C=1, kernel=linear"
sklearn.feature_selection.RFE,,"estimator=svc, n_features_to_select=1, step=1"
sklearn.feature_selection._rfe.RFE.fit,"X, y",
sklearn.datasets.load_iris,,return_X_y=True
sklearn.model_selection.train_test_split,"X, y","random_state=0, stratify=y"
sklearn.feature_selection.SelectKBest,f_classif,k=4
sklearn.feature_selection._univariate_selection._BaseFilter.fit,"X_train, y_train",
sklearn.pipeline.make_pipeline,"**, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.svm._classes.LinearSVC.fit.coef_,,axis=0
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline,,axis=0
sklearn.pipeline.make_pipeline,,
sklearn.preprocessing.MinMaxScaler,,dual=auto
sklearn.feature_selection.SelectKBest,f_classif,k=4
sklearn.feature_selection.SelectKBest,,
sklearn.feature_selection.f_classif,,dual=auto
sklearn.pipeline.Pipeline.score,"X_test, y_test",
sklearn.pipeline.Pipeline.score,"X_test, y_test",
sklearn.feature_selection._univariate_selection.SelectKBest,,
sklearn.datasets.load_diabetes,,
sklearn.linear_model._ridge.RidgeCV.fit,"X, y",
sklearn.feature_selection._from_model.SelectFromModel.fit,"X, y",
sklearn.feature_selection._sequential.SequentialFeatureSelector,"X, y",
sklearn.feature_selection._sequential.SequentialFeatureSelector,"X, y",
sklearn.linear_model.RidgeCV,,alphas=**
sklearn.feature_selection.SelectFromModel,ridge,threshold=threshold
sklearn.feature_selection.SequentialFeatureSelector,ridge,"direction=forward, n_features_to_select=2"
sklearn.feature_selection.SequentialFeatureSelector,ridge,"direction=backward, n_features_to_select=2"
sklearn.feature_selection._sequential.SequentialFeatureSelector,,
sklearn.feature_selection._sequential.SequentialFeatureSelector,,
sklearn.feature_selection.f_regression,"X, y",
sklearn.feature_selection.mutual_info_regression,"X, y",
sklearn.datasets.make_classification,,"n_classes=2, n_clusters_per_class=2, n_features=20, n_informative=3, n_redundant=0, random_state=42"
sklearn.model_selection.train_test_split,"X, y",random_state=42
sklearn.feature_selection.SelectKBest,f_classif,k=3
sklearn.svm.LinearSVC,,dual=auto
sklearn.pipeline.make_pipeline,"anova_filter, clf",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.predict,X_test,
sklearn.pipeline.Pipeline.inverse_transform,**,
sklearn.metrics.classification_report,"y_test, y_pred",
sklearn.datasets.fetch_openml,Bike_Sharing_Demand,"as_frame=True, parser=pandas, version=2"
sklearn.compose._column_transformer.ColumnTransformer,,transform=pandas
sklearn.pipeline.make_pipeline,"mlp_preprocessor, **",
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"mlp_model, X_train","ax=ax, **common_params"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model, X_train","ax=ax, **common_params"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model, X_train","ax=ax, **common_params"
sklearn.base.clone,"X_train, y_train",
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model_without_interactions, X_train","ax=ax, **common_params"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model, X_train","ax=ax, **common_params"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model_without_interactions, X_train","ax=ax, **common_params"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"hgbdt_model, X_train","ax=ax, **common_params"
sklearn.inspection.partial_dependence,"hgbdt_model, X_train","features=features, grid_resolution=10, kind=average"
sklearn.neural_network.MLPRegressor,,"early_stopping=True, hidden_layer_sizes=**, learning_rate_init=0.01, random_state=0"
sklearn.ensemble.HistGradientBoostingRegressor,,"categorical_features=categorical_features, max_iter=50, random_state=0"
sklearn.compose._column_transformer.ColumnTransformer,,"sparse_threshold=1, transformers=**, verbose_feature_names_out=False"
sklearn.pipeline.Pipeline,"X_test, y_test",
sklearn.preprocessing.QuantileTransformer,,n_quantiles=100
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.base.clone,hgbdt_model,
sklearn.model_selection.train_test_split,"X, y","random_state=0, test_size=0.2"
sklearn.linear_model._base.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"**, y_train",
sklearn.linear_model._base.LinearModel.predict,**,
sklearn.metrics.r2_score,"y_test, y_pred_with_ability",
sklearn.linear_model._base.LinearRegression,,
sklearn.linear_model._base.LinearRegression.fit,"**, y_train",
sklearn.linear_model._base.LinearModel.predict,**,
sklearn.metrics.r2_score,"y_test, y_pred_without_ability",
sklearn.datasets.load_breast_cancer,,
sklearn.model_selection.train_test_split,"X, y",random_state=42
sklearn.ensemble.RandomForestClassifier,,"n_estimators=100, random_state=42"
sklearn.ensemble._forest.BaseForest.fit,"X_train, y_train",
sklearn.inspection.permutation_importance,"clf, X_train, y_train","n_repeats=10, random_state=42"
sklearn.ensemble.RandomForestClassifier,,"n_estimators=100, random_state=42"
sklearn.ensemble._forest.BaseForest.fit,"X_train_sel, y_train",
sklearn.utils._bunch.Bunch,,
sklearn.base.ClassifierMixin.score,"X_test_sel, y_test",
sklearn.datasets.fetch_openml,titanic,"as_frame=True, parser=pandas, return_X_y=True, version=1"
sklearn.model_selection.train_test_split,"X, y","random_state=42, stratify=y"
sklearn.preprocessing._encoders.OrdinalEncoder,,"encoded_missing_value=**, handle_unknown=use_encoded_value, unknown_value=**"
sklearn.impute.SimpleImputer,,strategy=mean
sklearn.compose.ColumnTransformer,**,verbose_feature_names_out=False
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline.fit,"X_train, y_train",
sklearn.pipeline.Pipeline.get_feature_names_out,,
sklearn.inspection.permutation_importance,"rf, X_test, y_test","n_jobs=2, n_repeats=10, random_state=42"
sklearn.inspection.permutation_importance,"rf, X_train, y_train","n_jobs=2, n_repeats=10, random_state=42"
sklearn.inspection.permutation_importance,"rf, X_train, y_train","n_jobs=2, n_repeats=10, random_state=42"
sklearn.inspection.permutation_importance,"rf, X_test, y_test","n_jobs=2, n_repeats=10, random_state=42"
sklearn.pipeline.Pipeline.set_params,,classifier__min_samples_leaf=20
sklearn.ensemble.RandomForestClassifier,,random_state=42
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=534, parser=pandas"
sklearn.model_selection.train_test_split,"X, y",random_state=42
sklearn.compose.make_column_transformer,**,"remainder=passthrough, verbose_feature_names_out=False"
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.metrics.median_absolute_error,"y_train, **",
sklearn.metrics.median_absolute_error,"y_test, y_pred",
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred","ax=ax, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.model_selection.RepeatedKFold,,"n_repeats=5, n_splits=5, random_state=0"
sklearn.model_selection.cross_validate,"model, X, y","cv=cv, n_jobs=2, return_estimator=True"
sklearn.model_selection.cross_validate,"model, **, y","cv=cv, n_jobs=2, return_estimator=True"
sklearn.compose.make_column_transformer,"**, **",
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.metrics.median_absolute_error,"y_train, **",
sklearn.metrics.median_absolute_error,"y_test, y_pred",
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred","ax=ax, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.model_selection.cross_validate,"model, X, y","cv=cv, n_jobs=2, return_estimator=True"
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.metrics.median_absolute_error,"y_train, **",
sklearn.metrics.median_absolute_error,"y_test, y_pred",
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred","ax=ax, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.model_selection.cross_validate,"model, X, y","cv=cv, n_jobs=2, return_estimator=True"
sklearn.pipeline.make_pipeline,"preprocessor, **",
sklearn.metrics.median_absolute_error,"y_train, **",
sklearn.metrics.median_absolute_error,"y_test, y_pred",
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,"y_test, y_pred","ax=ax, kind=actual_vs_predicted, scatter_kwargs=**"
sklearn.model_selection.cross_validate,"model, X, y","cv=cv, n_jobs=2, return_estimator=True"
sklearn.compose.TransformedTargetRegressor,,"func=**, inverse_func=**, regressor=**"
sklearn.metrics.median_absolute_error,X_train,
sklearn.compose.TransformedTargetRegressor,,"func=**, inverse_func=**, regressor=**"
sklearn.metrics.median_absolute_error,X_train,
sklearn.compose.TransformedTargetRegressor,,"func=**, inverse_func=**, regressor=**"
sklearn.metrics.median_absolute_error,X_train,
sklearn.compose.TransformedTargetRegressor,,"func=**, inverse_func=**, regressor=**"
sklearn.metrics.median_absolute_error,X_train,
sklearn.preprocessing.OneHotEncoder,,drop=if_binary
sklearn.preprocessing.OneHotEncoder,,drop=if_binary
sklearn.preprocessing.StandardScaler,,
sklearn.linear_model.RidgeCV,,alphas=alphas
sklearn.linear_model.LassoCV,,"alphas=alphas, max_iter=100000"
sklearn.svm.NuSVC,,gamma=auto
sklearn.svm._base.BaseLibSVM.fit,"X, Y",
sklearn.svm._base.BaseSVC.decision_function,**,
sklearn.svm._base.BaseSVC.decision_function,,
sklearn.svm._base.BaseSVC.decision_function,,
sklearn.datasets.make_blobs,,"centers=2, n_samples=40, random_state=6"
sklearn.svm.SVC,,"C=1000, kernel=linear"
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.5, ax=ax, colors=k, levels=**, linestyles=**, plot_method=contour"
sklearn.datasets.load_iris,,
sklearn.svm.SVC,,kernel=my_kernel
sklearn.svm._base.BaseLibSVM.fit,"X, Y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","ax=ax, cmap=**, plot_method=pcolormesh, response_method=predict, shading=auto"
sklearn.svm.SVC,,"C=penalty, kernel=linear"
sklearn.svm._base.BaseLibSVM.fit,"X, Y",
sklearn.svm._base.BaseSVC.decision_function,xy,
sklearn.datasets.load_iris,,
sklearn.svm.SVC,,"C=C, kernel=linear"
sklearn.svm.LinearSVC,,"C=C, dual=auto, max_iter=10000"
sklearn.svm.SVC,,"C=C, gamma=0.7, kernel=rbf"
sklearn.svm.SVC,,"C=C, degree=3, gamma=auto, kernel=poly"
sklearn.svm._classes.SVC,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.8, ax=ax, cmap=**, response_method=predict, xlabel=**, ylabel=**"
sklearn.datasets.load_iris,,return_X_y=True
sklearn.pipeline.Pipeline,**,
sklearn.pipeline.Pipeline.set_params,,anova__percentile=percentile
sklearn.model_selection.cross_val_score,"clf, X, y",
sklearn.feature_selection.SelectPercentile,f_classif,
sklearn.svm.SVC,,gamma=auto
sklearn.datasets.load_iris,,
sklearn.preprocessing.StandardScaler,,
sklearn.base.TransformerMixin.fit_transform,X,
sklearn.base.TransformerMixin.fit_transform,X_2d,
sklearn.model_selection.StratifiedShuffleSplit,,"n_splits=5, random_state=42, test_size=0.2"
sklearn.model_selection.GridSearchCV,**,"cv=cv, param_grid=param_grid"
sklearn.model_selection._search.BaseSearchCV.fit,"X, y",
sklearn.model_selection._search.GridSearchCV,,
sklearn.model_selection._search.GridSearchCV,C_range,
sklearn.model_selection._search.BaseSearchCV.fit.cv_results_,gamma_range,
sklearn.svm.SVC,,"C=C, gamma=gamma"
sklearn.svm._base.BaseLibSVM.fit,"X_2d, y_2d",
sklearn.datasets.make_blobs,,"centers=centers, cluster_std=clusters_std, n_samples=**, random_state=0, shuffle=False"
sklearn.svm.SVC,,"C=1.0, kernel=linear"
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.svm.SVC,,"class_weight=**, kernel=linear"
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.5, ax=ax, colors=k, levels=**, linestyles=**, plot_method=contour"
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"wclf, X","alpha=0.5, ax=ax, colors=r, levels=**, linestyles=**, plot_method=contour"
sklearn.svm.OneClassSVM,,"gamma=0.1, kernel=rbf, nu=0.1"
sklearn.svm._classes.OneClassSVM.fit,X_train,
sklearn.svm._classes.OneClassSVM.predict,X_train,
sklearn.svm._classes.OneClassSVM.predict,X_test,
sklearn.svm._classes.OneClassSVM.predict,X_outliers,
sklearn.svm._classes.OneClassSVM.decision_function,**,
sklearn.svm._classes.OneClassSVM.decision_function,,
sklearn.svm._classes.OneClassSVM.decision_function,,
sklearn.datasets.make_classification,,"n_features=n_features, n_informative=5, n_samples=n_samples, random_state=1"
sklearn.svm.LinearSVC,,"dual=False, loss=squared_hinge, penalty=l1, tol=0.001"
sklearn.svm.LinearSVC,,"dual=True, loss=squared_hinge, penalty=l2"
sklearn.model_selection.ShuffleSplit,,"n_splits=50, random_state=1, test_size=0.3, train_size=train_size"
sklearn.model_selection.ShuffleSplit,,"n_splits=50, random_state=1, test_size=0.3, train_size=train_size"
sklearn.datasets.make_blobs,,random_state=27
sklearn.svm._base.BaseSVC.predict,**,
sklearn.svm.SVC,,"gamma=2, kernel=kernel"
sklearn.svm._base.BaseLibSVM.fit,"X, Y",
sklearn.svm._base.BaseSVC.decision_function,**,
sklearn.svm._classes.SVC,,
sklearn.svm._classes.SVC,,
sklearn.svm.SVR,,"C=100, epsilon=0.1, gamma=0.1, kernel=rbf"
sklearn.svm.SVR,,"C=100, gamma=auto, kernel=linear"
sklearn.svm.SVR,,"C=100, coef0=1, degree=3, epsilon=0.1, gamma=auto, kernel=poly"
sklearn.svm._base.BaseLibSVM.predict,X,
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.datasets.make_blobs,,"centers=2, n_samples=40, random_state=0"
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.5, ax=ax, colors=k, grid_resolution=50, levels=**, linestyles=**, plot_method=contour"
sklearn.svm.LinearSVC,,"C=C, dual=auto, loss=hinge, random_state=42"
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.svm,,gamma=1
sklearn.svm._base.BaseLibSVM.fit,"X, y",sample_weight=sample_weight_last_ten
sklearn.svm._base.BaseSVC.decision_function,**,
sklearn.svm._classes.SVC,,
sklearn.svm._classes.SVC,,
sklearn.metrics.euclidean_distances,X_true,
sklearn.manifold,,"dissimilarity=precomputed, eps=1e-09, max_iter=3000, n_components=2, n_jobs=1, normalized_stress=auto, random_state=seed"
sklearn.manifold,,"dissimilarity=precomputed, eps=1e-12, max_iter=3000, metric=False, n_components=2, n_init=1, n_jobs=1, normalized_stress=auto, random_state=seed"
sklearn.manifold._mds.MDS.fit_transform,similarities,init=pos
sklearn.decomposition.PCA,,n_components=2
sklearn.decomposition._pca.PCA.fit_transform,X_true,
sklearn.decomposition._pca.PCA.fit_transform,pos,
sklearn.decomposition._pca.PCA.fit_transform,npos,
sklearn.manifold._mds.MDS.fit,similarities,
sklearn.datasets.make_s_curve,n_samples,random_state=0
sklearn.manifold.LocallyLinearEmbedding,,"method=standard, **params"
sklearn.manifold._locally_linear.LocallyLinearEmbedding.fit_transform,S_points,
